Компани	Ажлын зар	Салбар	Түвшин	Төрөл	Цалин	Байршил	Он сар	Тохиролцоно
Урбан Бизнес Групп ХХК	Захиалгын Менежер	Дизайн, Энтертайнмент, Соёл урлаг	Дунд шатны удирдлага	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 15. 15:02	False
Луча	Борлуулалтын менежер Жижиглэн суваг	Худалдаа, Борлуулалт	Дунд шатны удирдлага	Бүтэн цагийн	2,100,000 - 2,500,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 14:59	False
Алтангадас трейд ХХК	Гадаад харилцааны менежер /Англи хэлтэй/	Маркетинг, PR, Менежмент	Дунд шатны удирдлага	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 14:58	False
Элит Косметик ХХК	Худалдааны зөвлөх ажилд авна.	Худалдаа, Борлуулалт	Дунд шатны удирдлага	Бүтэн цагийн	800,000 - 1,000,000	Улаанбаатар хот, Баянгол дүүрэг	3 сарын 15. 14:55	False
Хаппи трейд ХХК	Борлуулалтын Түгээгч ажилд авна	Худалдаа, Борлуулалт	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 15. 14:54	False
Сутайн Буянт Зах ХХК	Маркетингийн менежер	Маркетинг, PR, Менежмент	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Сонгинохайрхан дүүрэг	3 сарын 15. 14:53	False
ГРИЙН ФАКТОРИ ХХК	ҮЙЛДВЭРЛЭЛИЙН АЖИЛТАН/эрэгтэй/	Үйлдвэрлэл, Дэд бүтэц	Мэргэжил хамаарахгүй	Ээлжийн	1,200,000 - 1,500,000	Улаанбаатар хот, Сонгинохайрхан дүүрэг	3 сарын 15. 14:50	False
Жавхлант Орд	Диспетчер	Уул уурхай	Мэргэжилтэн	Ээлжийн	1,500,000 - 1,800,000	Өмнөговь аймаг	3 сарын 15. 14:50	False
Үлэмж ХХК	ТООЦООНЫ НЯГТЛАН БОДОГЧ	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 15. 14:48	False
Наран Бьюти Уорлд ХХК	Худалдааны зөвлөх/ гоо сайхан Соло, И-март салбар	Худалдаа, Борлуулалт	Мэргэжилтэн	Ээлжийн	1,200,000 - 1,500,000	Улаанбаатар хот	3 сарын 15. 14:47	False
Нэкст Групп XXK	Худалдааны зөвлөх /ЭРЭГТЭЙ Ховд салбар/	Худалдаа, Борлуулалт	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Ховд аймаг	3 сарын 15. 14:46	False
Рендер ХХК	Тоног төхөөрөмжийн оператор	Үйлдвэрлэл, Дэд бүтэц	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 14:46	False
Тэсо Групп	КОФЕ ШОП МЕНЕЖЕР /ТЭСО ИНВЕСТМЭНТ ХХК/	Ресторан, Хоол үйлдвэрлэл	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот	3 сарын 15. 14:45	False
Сод Монгол Групп	Нягтлан бодогч	Худалдаа, Борлуулалт	Дунд шатны удирдлага	Бүтэн цагийн	1,200,000 - 1,500,000	Дархан-Уул аймаг	3 сарын 15. 14:45	False
Сод Монгол Групп	ГАЛ ХӨДӨЛМӨР ХАМГААЛЛЫН ИНЖЕНЕР	Худалдаа, Борлуулалт	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот	3 сарын 15. 14:40	False
Төгс нүд энтертайнмэнт	Дизайнер	Дизайн, Энтертайнмент, Соёл урлаг	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 14:37	False
Жи Ти Аукон ХХК	Барилгын ажилчин /Оюу Толгой төсөл дээр/	Уул уурхай	Мэргэжилтэн	Ээлжийн	1,800,000 - 2,100,000	Өмнөговь аймаг	3 сарын 15. 14:36	False
Жи Ти Аукон ХХК	Механик угсралтын супервайзор /ОТ төсөл дээр/	Уул уурхай	Дунд шатны удирдлага	Ээлжийн	2,100,000 - 2,500,000	Өмнөговь аймаг	3 сарын 15. 14:36	False
Жи Ти Аукон ХХК	Механик угсралтын ажилтан	Уул уурхай	Дунд шатны удирдлага	Ээлжийн	1,800,000 - 2,100,000	Өмнөговь аймаг	3 сарын 15. 14:35	False
Степпелинк Холдинг ХХК	ХУВИЙН ТОГООЧ ( ГЭР БҮЛИЙН )	Ресторан, Хоол үйлдвэрлэл	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 15. 14:31	False
Баавлаг сервис	маркетенгийн менежер	Маркетинг, PR, Менежмент	Мэргэжилтэн	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот	3 сарын 15. 14:27	False
УУЖИН ХХК	Ноолууран бүтээгдэхүүний үйлдвэрт нягтлан бодогч	Банк, санхүү, нягтлан бодох бүртгэл	Дунд шатны удирдлага	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Сонгинохайрхан дүүрэг	3 сарын 15. 14:25	False
ТиТиЖиВиСиӨү ХХК	Автын цахилгаанчин	Уул уурхай	Мэргэжилтэн	Ээлжийн	2,100,000 - 2,500,000	Өмнөговь аймаг	3 сарын 15. 14:22	False
ТиТиЖиВиСиӨү ХХК	Өндөр хүчдэлийн цахилгаанчин	Үйлдвэрлэл, Дэд бүтэц	Мэргэжилтэн	Ээлжийн	2,100,000 - 2,500,000	Өмнөговь аймаг	3 сарын 15. 14:21	False
Палома ХХК	Тооцооны нягтлан бодогч	Эмнэлэг, Эм хангамж	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Баянгол дүүрэг	3 сарын 15. 14:19	False
Фаст Эйженси	Борлуулалтын менежер ажилд авна.	Барилга, Үл хөдлөх хөрөнгө	Мэргэжилтэн	Бүтэн цагийн	1,000,000 - 1,200,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 14:16	False
Амно ХХК	Худалдааны төлөөлөгч /Сүлжээ хариуцах/	Худалдаа, Борлуулалт	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Баянгол дүүрэг	3 сарын 15. 14:16	False
Хот төлөвлөлт, судалгааны институт ОНӨААТҮГ	IT инженер ажилд авна.	Мэдээлэл технологи, Харилцаа холбоо	Мэргэжилтэн	Бүтэн цагийн	1,000,000 - 1,200,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 15. 14:11	False
Фамили Медикал	Угаагч	Эмнэлэг, Эм хангамж	Мэргэжил хамаарахгүй	Бүтэн цагийн	800,000 - 1,000,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 14:07	False
Мобиком корпораци ХХК	АХЛАХ МЭРГЭЖИЛТЭН	Худалдаа, Борлуулалт	Мэргэжил хамаарахгүй	Бүтэн цагийн	2,100,000 - 2,500,000	Улаанбаатар хот	3 сарын 15. 14:04	False
Тек Пак ХХК	Бизнес шинжээч	Маркетинг, PR, Менежмент	Дунд шатны удирдлага	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 15. 13:59	False
Очирт Зүмбэрэл Финанс ХХК	Сошиал Марктенгийн менежер	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 15. 13:57	False
Стөүнхиж ХХК	Угсралтын менежер	Барилга, Үл хөдлөх хөрөнгө	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Баянгол дүүрэг	3 сарын 15. 13:57	False
Гандирс ХХК	Тогооч /төслийн талбайд/	Ресторан, Хоол үйлдвэрлэл	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,200,000 - 1,500,000	Өмнөговь аймаг	3 сарын 15. 13:53	False
Амгалан амаржих газар төрөлжсөн мэргэшлийн эмнэлэг	Сувилагч	Эмнэлэг, Эм хангамж	Мэргэжилтэн	Ээлжийн	1,000,000 - 1,200,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 13:53	False
Амгалан амаржих газар төрөлжсөн мэргэшлийн эмнэлэг	Эх баригч	Эмнэлэг, Эм хангамж	Мэргэжилтэн	Ээлжийн	1,000,000 - 1,200,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 13:52	False
ПАУЭРХАУС ДЕВЕЛОПМЕНТ ГРУПП ХХК	Барилга бүтээцийн зургийн инженер	Барилга, Үл хөдлөх хөрөнгө	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 13:52	False
Амгалан амаржих газар төрөлжсөн мэргэшлийн эмнэлэг	Дурангийн эмч	Эмнэлэг, Эм хангамж	Мэргэжилтэн	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 13:52	False
Мөнхийн Тун ХХК	Оффис менежер	Захиргаа, Хүний нөөц	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 15. 13:51	False
Очирт Зүмбэрэл Финанс ХХК	Хүний нөөцийн мэргэжилтэн	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 15. 13:49	False
Улаанбаатар групп ХХК	ЭМЧ	Тээвэр, гааль, агуулах	Дунд шатны удирдлага	Ээлжийн	1,500,000 - 1,800,000	Дорнод аймаг	3 сарын 15. 13:47	False
КРИСТАЛ ТОП ГРУПП ХХК	ЭМЧ /УУЛ УУРХАЙ/	Уул уурхай	Мэргэжилтэн	Улирлаар	1,800,000 - 2,100,000	Өмнөговь аймаг	3 сарын 15. 13:44	False
Ачит Ихт ХХК	Хангамжийн ажилтан	Уул уурхай	Мэргэжилтэн	Бүтэн цагийн	2,100,000 - 2,500,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 15. 13:43	False
КРИСТАЛ ТОП ГРУПП ХХК	АВТЫН ЦАХИЛГААНЧИН /Алтны шороон орд	Уул уурхай	Мэргэжилтэн	Ээлжийн	2,100,000 - 2,500,000	Сэлэнгэ аймаг	3 сарын 15. 13:43	False
Том-Амжилт	График Дизайнер ажилд авна.	Маркетинг, PR, Менежмент	Мэргэжилтэн	Бүтэн цагийн	2,100,000 - 2,500,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 15. 13:42	False
Мон Бийф ХХК	НЯГТЛАН БОДОГЧ	ХАА, Байгаль экологи	Мэргэжилтэн	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот	3 сарын 15. 13:42	False
Бодь-электроникс ХХК	ХУДАЛДААНЫ ЗӨВЛӨХ	Худалдаа, Борлуулалт	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,000,000 - 1,200,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 15. 13:41	False
ТӨГӨЛДӨР НОМАДС ХХК	Аж ахуйн нярав	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Ээлжийн	1,000,000 - 1,200,000	Өмнөговь аймаг	3 сарын 15. 13:34	False
Инновэйшн Инвестмэнт ХХК	ЗАХИРЛЫН ТУСЛАХ, НАРИЙН БИЧИГ	Захиргаа, Хүний нөөц	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 15. 13:32	False
Блaйк Кэнди	Гар утасны тоглоомын дизайнер	Дизайн, Энтертайнмент, Соёл урлаг	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Чингэлтэй дүүрэг	3 сарын 15. 13:25	False
Номин Холдинг ХХК	ХАБЭА-н Инженер	Үйлдвэрлэл, Дэд бүтэц	Мэргэжилтэн	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот	3 сарын 15. 13:20	False
ibis Styles Ulaanbaatar Polaris	Хүний нөөцийн ажилтан	Аялал жуулчлал, зочид буудал	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 15. 13:17	False
Энто ХХК	Захиалга хүлээн авагч	Эмнэлэг, Эм хангамж	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот	3 сарын 15. 13:17	False
